Nº de referencia,Actualizado por,Asunto,Buzón de correo,Cola,Creado por cuenta,Modo de Contacto,UsuarioIntra,Tipo de Incidente,Tipo de estado,Tipo Cobro,Siniestro,Poliza,NroCuenta,ID de producto,ID de incidente,ID de disposición,ID de contacto,ID de categoría,Grupo,FechaEfecto,Fecha de última respuesta,Fecha de última actualización,Fecha de creación,Fecha de cierre,Estado,Cuenta asignada,ID de organización
161021-234161,,Incidente importado desde SAC,,Pago Telefonico,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOC1 - SEGURO DEL HOGAR,284185,,3290659,Pago telefónico,,,,'2021-04-28 13:20:00','2016-10-21 20:57:14','2016-10-21 20:57:14',Resuelto,,
161021-234162,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,284186,,7191390,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 20:57:14','2016-10-21 20:57:14',Resuelto,,
161021-234163,,Incidente importado desde SAC,,Riesgos Varios Casa Central,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,284187,,3756067,Denuncia Riesgos Varios,,,,'2021-04-28 13:20:00','2016-10-21 20:57:14','2016-10-21 20:57:14',Resuelto,,
161021-234164,,Incidente importado desde SAC,,Riesgos Varios Casa Central,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,284188,,1353372,Denuncia Riesgos Varios,,,,'2021-04-28 13:20:00','2016-10-21 20:57:14','2016-10-21 20:57:14',Resuelto,,
161021-234165,,Incidente importado desde SAC,,Pago Telefonico,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,284189,,7546370,Pago telefónico,,,,'2021-04-28 13:20:00','2016-10-21 20:57:14','2016-10-21 20:57:14',Resuelto,,
161021-234167,,Incidente importado desde SAC,,Telecobranzas,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,284191,,457064,Contestador,,,,'2021-04-28 13:20:00','2016-10-21 20:57:15','2016-10-21 20:57:15',Atendido,,
161021-234169,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,284193,,1288672,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 20:57:15','2016-10-21 20:57:15',Resuelto,,
161021-234171,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,284195,,3164121,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 20:57:15','2016-10-21 20:57:15',Resuelto,,
161021-234172,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,284196,,4479547,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 20:57:15','2016-10-21 20:57:15',Resuelto,,
161021-234173,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,284197,,5354430,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 20:57:15','2016-10-21 20:57:15',Resuelto,,
